City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
60,Kieta,PG,2021-02-01 14:01:55,-6.2167,155.6333,81.55,77,100,11.99,light rain
61,Port Elizabeth,ZA,2021-02-01 13:55:39,-33.918,25.5701,69.8,52,40,11.5,scattered clouds
62,Manokwari,ID,2021-02-01 14:01:55,-0.8667,134.0833,76.59,88,100,8.5,light rain
63,Saint-Prosper,CA,2021-02-01 14:01:56,46.2117,-70.4811,-13.0,77,1,2.3,clear sky
64,Khatanga,RU,2021-02-01 13:55:10,71.9667,102.5,-31.5,83,0,9.28,clear sky
65,Tiksi,RU,2021-02-01 13:55:01,71.6872,128.8694,-21.87,88,100,8.95,overcast clouds
66,Deqing,CN,2021-02-01 14:01:56,30.5448,119.9599,51.01,96,83,7.0,broken clouds
67,Taoudenni,ML,2021-02-01 13:56:14,22.6783,-3.9836,88.03,12,0,13.42,clear sky
68,Rio Grande,BR,2021-02-01 13:57:07,-32.035,-52.0986,77.0,88,75,3.44,broken clouds
69,Airai,TL,2021-02-01 13:56:00,-8.9266,125.4092,62.01,97,100,2.33,overcast clouds
70,Kitgum,UG,2021-02-01 13:58:03,3.2783,32.8867,96.71,12,100,11.43,overcast clouds
71,Barreirinha,BR,2021-02-01 14:01:58,-2.7933,-57.07,81.07,77,82,3.78,broken clouds
72,Zaysan,KZ,2021-02-01 13:57:40,47.4667,84.8667,12.15,89,100,3.11,overcast clouds
73,Batemans Bay,AU,2021-02-01 13:55:39,-35.7167,150.1833,62.01,94,100,5.99,moderate rain
74,Taksimo,RU,2021-02-01 13:55:26,56.3444,114.8794,-26.79,73,80,3.44,broken clouds
75,Tasiilaq,GL,2021-02-01 13:55:13,65.6145,-37.6368,15.8,62,75,1.14,broken clouds
76,Gat,IL,2021-02-01 13:55:35,31.61,34.7642,75.0,37,0,1.01,clear sky
77,Nombre De Dios,MX,2021-02-01 14:01:59,23.85,-104.2333,45.0,52,1,1.79,clear sky
78,Lodja,CD,2021-02-01 14:01:59,-3.4833,23.4333,81.27,65,93,3.2,overcast clouds
79,Peterhead,GB,2021-02-01 14:02:00,57.5058,-1.7981,37.99,87,75,4.61,broken clouds
80,Mbour,SN,2021-02-01 14:02:00,14.422,-16.9638,87.8,8,0,10.36,clear sky
81,Lebu,CL,2021-02-01 13:55:56,-37.6167,-73.65,60.6,79,50,13.2,scattered clouds
82,Agirish,RU,2021-02-01 14:02:01,61.9247,63.0231,21.47,97,100,11.68,overcast clouds
83,Bintulu,MY,2021-02-01 14:02:01,3.1667,113.0333,75.2,100,40,3.44,moderate rain
84,Lagoa,PT,2021-02-01 13:55:32,39.05,-27.9833,60.87,80,100,29.04,overcast clouds
85,Lieksa,FI,2021-02-01 14:02:01,63.3167,30.0167,18.37,97,100,3.56,light snow
86,Mugur-Aksy,RU,2021-02-01 14:02:02,50.35,90.5,10.08,67,100,4.05,overcast clouds
87,Lebedinyy,RU,2021-02-01 13:56:19,58.5167,125.5167,-36.87,82,100,2.77,overcast clouds
88,Xai-Xai,MZ,2021-02-01 13:57:24,-25.0519,33.6442,87.28,66,91,11.14,overcast clouds
89,Mar Del Plata,AR,2021-02-01 13:56:17,-38.0023,-57.5575,66.2,77,90,13.8,light rain
90,Vila Velha,BR,2021-02-01 13:54:23,-20.3297,-40.2925,87.8,51,20,10.36,few clouds
91,Saint-Augustin,CA,2021-02-01 13:55:55,51.226,-58.6502,15.57,87,0,8.3,clear sky
92,Bayji,IQ,2021-02-01 14:02:03,34.9311,43.487,61.83,40,0,4.0,clear sky
93,Marrakesh,MA,2021-02-01 13:56:15,31.6315,-8.0083,77.0,31,0,6.91,clear sky
94,New Norfolk,AU,2021-02-01 13:55:06,-42.7826,147.0587,57.2,77,0,5.75,clear sky
95,Khor,RU,2021-02-01 13:56:36,47.8861,134.9464,-6.56,91,100,6.53,overcast clouds
96,Moron,AR,2021-02-01 13:54:25,-34.6534,-58.6198,70.0,94,90,11.5,overcast clouds
97,Kuala Selangor,MY,2021-02-01 14:02:05,3.35,101.25,78.8,83,20,3.44,few clouds
98,Muravlenko,RU,2021-02-01 14:02:05,63.7898,74.523,4.33,94,100,15.84,overcast clouds
99,Quezon,PH,2021-02-01 14:02:05,7.7303,125.0989,71.78,87,100,3.51,overcast clouds
100,Haizhou,CN,2021-02-01 14:02:06,34.5817,119.1289,36.91,70,0,15.57,clear sky
101,Vaini,TO,2021-02-01 13:55:33,-21.2,-175.2,77.0,94,90,13.8,light rain
102,Bambous Virieux,MU,2021-02-01 13:55:26,-20.3428,57.7575,84.2,79,75,13.8,light rain
103,Gravdal,NO,2021-02-01 14:02:07,68.1214,13.5031,28.4,86,20,5.75,light snow
