City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Gold Coast,AU,2021-01-28 00:16:32,-28.0,153.4333,84.99,61,40,18.41
68,Kirakira,SB,2021-01-28 00:11:15,-10.4544,161.9205,84.92,74,79,12.1
69,Bambanglipuro,ID,2021-01-28 00:18:32,-7.95,110.2833,75.72,87,99,5.17
70,Arraial Do Cabo,BR,2021-01-28 00:09:39,-22.9661,-42.0278,77.56,80,93,28.95
71,Alofi,NU,2021-01-28 00:05:47,-19.0595,-169.9187,80.6,83,75,9.22
72,Timra,SE,2021-01-28 00:18:33,62.487,17.3257,14.0,92,90,4.61
73,Kapaa,US,2021-01-28 00:09:41,22.0752,-159.319,77.0,83,75,18.41
74,Dzhubga,RU,2021-01-28 00:18:33,44.3211,38.7039,54.28,63,88,18.57
75,Sao Sebastiao Do Passe,BR,2021-01-28 00:18:33,-12.5125,-38.4953,82.4,69,75,10.36
76,Olafsvik,IS,2021-01-28 00:10:04,64.8945,-23.7142,29.88,87,80,13.76
77,Tuktoyaktuk,CA,2021-01-28 00:05:08,69.4541,-133.0374,-29.2,75,20,5.75
78,Chernogorsk,RU,2021-01-28 00:18:34,53.8236,91.2842,23.0,68,0,8.95
79,Santa Catarina De Tepehuanes,MX,2021-01-28 00:18:35,25.35,-105.7333,58.39,32,92,4.81
80,Talnakh,RU,2021-01-28 00:11:28,69.4865,88.3972,-28.01,82,61,3.83
81,Chuy,UY,2021-01-28 00:11:36,-33.6971,-53.4616,69.06,86,39,8.7
82,Victor Harbor,AU,2021-01-28 00:11:19,-35.5667,138.6167,72.0,65,90,8.3
83,Gat,IL,2021-01-28 00:10:40,31.61,34.7642,59.0,84,57,5.99
84,Changchun,CN,2021-01-28 00:18:36,43.88,125.3228,-0.4,71,0,6.71
85,Mirnyy,RU,2021-01-28 00:18:36,62.5353,113.9611,-44.37,80,45,2.13
86,Thornbury,GB,2021-01-28 00:18:36,52.2333,-2.55,46.99,98,100,3.0
87,Lanivtsi,UA,2021-01-28 00:14:46,49.8633,26.0908,27.72,97,100,13.73
88,Sao Joao Da Barra,BR,2021-01-28 00:09:38,-21.6403,-41.0511,77.94,81,0,17.72
89,Tiksi,RU,2021-01-28 00:09:22,71.6872,128.8694,-34.55,83,100,2.46
90,Mataura,NZ,2021-01-28 00:05:03,-46.1927,168.8643,51.01,80,97,18.01
91,Broken Hill,AU,2021-01-28 00:10:06,-31.95,141.4333,73.4,35,92,10.36
92,Pacific Grove,US,2021-01-28 00:05:56,36.6177,-121.9166,51.01,93,90,8.05
93,Nouadhibou,MR,2021-01-28 00:10:28,20.931,-17.0347,68.0,68,0,11.5
94,Boksburg,ZA,2021-01-28 00:18:38,-26.212,28.2596,66.0,94,100,8.34
95,Cordoba,AR,2021-01-28 00:18:26,-31.4135,-64.1811,82.99,83,0,8.05
96,Clyde River,CA,2021-01-28 00:10:25,70.4692,-68.5914,-14.8,76,1,2.3
97,Damara,CF,2021-01-28 00:18:38,4.9608,18.7035,71.6,88,0,7.34
98,Ryotsu,JP,2021-01-28 00:18:39,38.0833,138.4333,37.4,60,75,17.27
99,Vanimo,PG,2021-01-28 00:10:50,-2.6741,141.3028,82.62,71,100,6.08
100,Araouane,ML,2021-01-28 00:14:31,18.9048,-3.5265,68.4,22,0,10.92
101,Barrow,US,2021-01-28 00:07:04,71.2906,-156.7887,-9.4,77,90,6.91
102,Homer,US,2021-01-28 00:15:25,59.6425,-151.5483,30.0,74,20,4.61
103,Hambantota,LK,2021-01-28 00:18:39,6.1241,81.1185,73.9,76,32,12.03
