City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
266,Chazuta,PE,77.0,broken clouds,-6.5742,-76.1367,Hospedaje Feliz Amanecer
273,Morondava,MG,85.98,clear sky,-20.2833,44.2833,La Case Bambou
274,Tumkur,IN,77.0,few clouds,13.3422,77.1017,OYO 24245 Dv Residency
278,Arlit,NE,84.65,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
280,Salalah,OM,77.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
282,Faanui,PF,80.64,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
285,Mananjary,MG,85.48,clear sky,-21.2167,48.3333,Vahiny Lodge
295,Isabela,PH,78.6,broken clouds,6.7085,121.9711,Isawad Resort
301,Lorengau,PG,78.49,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
302,Trelew,AR,81.79,clear sky,-43.248999999999995,-65.3051,Hotel Touring Club
303,Port Hedland,AU,78.8,heavy intensity rain,-20.3167,118.5667,The Esplanade Hotel
308,Poum,NC,79.43,overcast clouds,-20.2333,164.0167,Gîte kajeon
311,Mahebourg,MU,84.2,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
314,Anton Lizardo,MX,75.0,scattered clouds,19.05,-95.9833,Hotel CocoAventura
319,Malanje,AO,84.2,light rain,-9.5402,16.340999999999998,Malanje Hotel
322,Honiara,SB,80.26,moderate rain,-9.4333,159.95,Heritage Park Hotel
323,Quatre Cocos,MU,84.2,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
326,Santo Tomas,PH,77.0,few clouds,14.1079,121.1414,Microtel by Wyndham Batangas
327,Salinopolis,BR,80.73,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
330,Oistins,BB,82.4,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
333,Maputo,MZ,78.8,heavy intensity rain,-25.9653,32.5892,Pestana Rovuma
335,Lindi,TZ,86.0,scattered clouds,-10.0,39.7167,Lindi paradise house
336,Mchinji,MW,75.06,light rain,-13.7984,32.8802,Kayesa Inn
346,Julio De Castilhos,BR,78.8,broken clouds,-29.2269,-53.6817,Bladmir Rigol da Costa ME
348,Aracati,BR,89.02,overcast clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
356,Kloulklubed,PW,78.8,broken clouds,7.0419,134.2556,Storyboard Beach Resort
368,Saldanha,ZA,84.2,clear sky,-33.0117,17.9442,Blue Bay Lodge
373,Arraial Do Cabo,BR,87.8,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
